,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
667,2020-11-18,360.91,361.5,356.24,356.28,341.931885,70749822,70591300,-4.63,-1.28,359.07,"November 18, 20",-0.0128
668,2020-11-17,359.97,361.92,358.34,360.62,346.097076,66151279,66111000,0.65,0.18057,360.53,"November 17, 20",0.0018057
669,2020-11-16,360.98,362.78,359.59,362.57,347.968536,74730921,74541100,1.59,0.44047,361.09,"November 16, 20",0.0044047
670,2020-11-13,355.27,358.9,354.71,358.1,343.678589,62872273,62892200,2.83,0.79658,356.87,"November 13, 20",0.0079658
671,2020-11-12,355.58,356.7182,351.26,353.21,338.985504,68151641,67546200,-2.37,-0.66652,353.62,"November 12, 20",-0.0066652
672,2020-11-11,356.4,357.56,355.06,356.67,342.306213,58481252,58649000,0.27,0.07575758,356.27,"November 11, 20",0.0007575758
673,2020-11-10,353.49,355.18,350.51,354.04,339.782074,85264498,85552000,0.55,0.15559,353.65,"November 10, 20",0.0015559
674,2020-11-09,363.97,364.38,354.06,354.56,340.281189,173058434,172304200,-9.41,-2.59,358.06,"November 09, 20",-0.0259
675,2020-11-06,349.93,351.51,347.65,350.16,336.058319,75149967,74973000,0.23,0.06572743,350.04,"November 06, 20",0.0006572743
676,2020-11-05,349.24,352.19,348.86,350.24,336.135071,82419383,82039700,1.0,0.28634,350.0,"November 05, 20",0.0028634
677,2020-11-04,340.86,347.94,339.59,343.54,329.704956,127045985,126959700,2.68,0.78625,343.63,"November 04, 20",0.0078625
678,2020-11-03,333.69,338.25,333.17,336.03,322.497375,93227788,93294200,2.34,0.70125,335.99,"November 03, 20",0.0070125
679,2020-11-02,330.2,332.36,327.24,330.2,316.902161,86115746,86068300,0.0,0.0,329.61,"November 02, 20",0.0
680,2020-10-30,328.28,329.69,322.6,326.54,313.389618,120282921,120287300,-1.74,-0.53004,325.73,"October 30, 20",-0.0053004
681,2020-10-29,326.91,333.395,325.09,329.98,316.69104,90534802,90597700,3.07,0.9391,329.57,"October 29, 20",0.009391
682,2020-10-28,332.1,338.2483,326.13,326.66,313.50473,127353813,127094300,-5.44,-1.64,329.48,"October 28, 20",-0.0164
683,2020-10-27,339.76,340.12,337.99,338.22,324.599121,65978662,65994100,-1.54,-0.45326,338.91,"October 27, 20",-0.0045326
684,2020-10-26,342.13,342.98,335.62,339.39,325.722107,91438344,91473000,-2.74,-0.80087,339.42,"October 26, 20",-0.0080087
